91;BADANO;RIVADAVIA;BUENOS AIRES
92;BAHIA BLANCA;BAHIA BLANCA;BUENOS AIRES
93;BAHIA SAN BLAS;PATAGONES;BUENOS AIRES
94;BAIGORRITA;GRL.VIAMONTE;BUENOS AIRES
95;BAJO HONDO;CNL.DE MARINA LEONARDO ROSALES;BUENOS AIRES
96;BALCARCE;BALCARCE;BUENOS AIRES
97;BALNEARIO ORENSE;TRES ARROYOS;BUENOS AIRES
98;BALNEARIO ORIENTE;CORONEL DORREGO;BUENOS AIRES
99;BALNEARIO PEHUEN-CO;CNL.DE MARINA LEONARDO ROSALES;BUENOS AIRES
100;BALSA;LINCOLN;BUENOS AIRES
101;BANCALARI ,AP.;TIGRE;BUENOS AIRES
102;BANDERALO;GENERAL VILLEGAS;BUENOS AIRES
103;BANFIELD;LOMAS DE ZAMORA;BUENOS AIRES
104;BARADERO;BARADERO;BUENOS AIRES
105;BARISSO;BERISSO;BUENOS AIRES
106;BARKER;JUAREZ;BUENOS AIRES
107;BARRIO COLONIA ALEGRE;GRL.PUEYRREDON;BUENOS AIRES
108;BARRIO EL RETAZO;GRL.PUEYRREDON;BUENOS AIRES
109;BARRIO SAN PATRICIO;GRL.PUEYRREDON;BUENOS AIRES
110;BARROW;TRES ARROYOS;BUENOS AIRES
111;BARTOLOME BAVIO;MAGDALENA;BUENOS AIRES
112;BARTOLOME MITRE ,EST.;VICENTE LOPEZ;BUENOS AIRES
113;BATAN;GRL.PUEYRREDON;BUENOS AIRES
114;BATHURST;CORONEL SUAREZ;BUENOS AIRES
115;BAUDRIX;ALBERTI;BUENOS AIRES
116;BAYAUCA;LINCOLN;BUENOS AIRES
117;BELEN DE ESCOBAR;ESCOBAR;BUENOS AIRES
118;BELLA VISTA ,EST.TTE.GRL.RICCHIERI;GENERAL SARMIENTO;BUENOS AIRES
119;BELLOCO;CARLOS CASARES;BUENOS AIRES
120;BENAVIDEZ;TIGRE;BUENOS AIRES
121;BENITEZ;CHIVILCOY;BUENOS AIRES
122;BERAZATEGUI;BERAZATEGUI;BUENOS AIRES
123;BERDIER;SALTO;BUENOS AIRES
124;BERMUDEZ;LINCOLN;BUENOS AIRES
125;BERNAL;QUILMES;BUENOS AIRES
126;BERRAONDO;TORQUINST;BUENOS AIRES
127;BERUTTI;TRENQUE LAUQUEN;BUENOS AIRES
128;BILLINGHURST;3 DE FEBRERO;BUENOS AIRES
129;BLANCA GRANDE;OLAVARRIA;BUENOS AIRES
130;BLANDENGUES;JUNIN;BUENOS AIRES
131;BLAQUIER;GENERAL PINTO;BUENOS AIRES
132;BLAS DURAÑONA;25 DE MAYO;BUENOS AIRES
133;BOCA DEL TORO;TIGRE;BUENOS AIRES
134;BOCAYUVA;PELLEGRINI;BUENOS AIRES
135;BONNEMENT ,AP.;GENERAL BELGANO;BUENOS AIRES
136;BORDENAVE;PUAN;BUENOS AIRES
137;BORDEU;BAHIA BLANCA;BUENOS AIRES
138;BORGES ,EST.;VICENTE LOPEZ;BUENOS AIRES
139;BOSCH;BALCARCE;BUENOS AIRES
140;BOSQUES;FLORENCIO VARELA;BUENOS AIRES
141;BOULOGNE;SAN ISIDRO;BUENOS AIRES
142;BRAGADO;BRAGADO;BUENOS AIRES
143;BRANDSEN ,EST.CNL.BRANDSEN;BRANDSEN;BUENOS AIRES
144;BUCHANAN;LA PLATA;BUENOS AIRES
145;BURZACO;ALMIRANTE BROWN;BUENOS AIRES
146;CABILDO;BAHIA BLANCA;BUENOS AIRES
147;CACHARI;AZUL;BUENOS AIRES
148;CADRET;CARLOS CASARES;BUENOS AIRES
149;CAIOMUTA;SALLIQUELO;BUENOS AIRES
150;CALDERON;CNL.DE MARINA L.ROSALES;BUENOS AIRES
151;CALFUCURA;MAR CHIQUITA;BUENOS AIRES
152;CALVO;CORONEL DORREGO;BUENOS AIRES
153;CAMBACERES;9 DE JULIO;BUENOS AIRES
154;CAMET;GENERAL PUEYRREDON;BUENOS AIRES
155;CAMPANA;CAMPANA;BUENOS AIRES
156;CAMPO DE MAYO;GRL.SARMIENTO;BUENOS AIRES
157;CAMPODONICO;AZUL;BUENOS AIRES
158;CAN, ROBERTO;ROJAS;BUENOS AIRES
159;CAÑADA MARIANO ,AP.;ADOLFO ALSINA;BUENOS AIRES
160;CAÑADA SECA;GENERAL VILLEGAS;BUENOS AIRES
161;CANAL SAN FERNANDO ,EST.;TIGRE;BUENOS AIRES
162;CANGALLO;AYACUCHO;BUENOS AIRES
163;CANNING;ESTEBAN ECHEVERRIA;BUENOS AIRES
164;CANONIGO GORRITI;ADOLFO ALSINA;BUENOS AIRES
165;CAÑUELAS;CAÑUELAS;BUENOS AIRES
166;CAPILLA DEL SEÑOR ,EST.CAPILLA;EXALTACION DE LA CRUZ;BUENOS AIRES
167;CAPITAN CASTRO;PEHUAJO;BUENOS AIRES
168;CAPITAN SARMIENTO;SARMIENTO;BUENOS AIRES
169;CARABELAS;ROJAS;BUENOS AIRES
170;CARAPACHAY;VICENTE LOPEZ;BUENOS AIRES
171;CARBONI, ANTONIO;LOBOS;BUENOS AIRES
172;CARDENAL CAGLIERO;PATAGONES;BUENOS AIRES
173;CARHUE;ADOLFO ALSINA;BUENOS AIRES
174;CARMEN DE ARECO;CARMEN DE ARECO;BUENOS AIRES
175;CASALINS;PILA;BUENOS AIRES
176;CASANOVA, ISIDRO;LA MATANZA;BUENOS AIRES
177;CASARES, CARLOS;CARLOS CASARES;BUENOS AIRES
178;CASARES, VICENTE;CAÑUELAS;BUENOS AIRES
179;CASAS, JOSE B.;PATAGONES;BUENOS AIRES
180;CASBAS;GUAMINI;BUENOS AIRES
181;CASCADA;CORONEL SUAREZ;BUENOS AIRES
182;CASCALLARES, MICAELA;TRES ARROYOS;BUENOS AIRES
183;CASEROS;TRES DE FEBRERO;BUENOS AIRES
184;CASEY;GUAMINI;BUENOS AIRES
185;CASTELAR;MORON;BUENOS AIRES
186;CASTELLI;CASTELLI;BUENOS AIRES
187;CASTILLA;CHACABUCO;BUENOS AIRES
188;CASTILLO, RAFAEL;LA MATANZA;BUENOS AIRES
189;CAZON;SALADILLO;BUENOS AIRES
190;CENTRO AGRICOLA EL PATO ,AP.;BERAZATEGUI;BUENOS AIRES
191;CERRITO;RIVADAVIA;BUENOS AIRES
192;CHACABUCO;CHACABUCO;BUENOS AIRES
193;CHANCAY;GENERAL VIAMONTE;BUENOS AIRES
